Name,type,log_P,Jmag,Hmag,Kmag,fe_h_lit,fe_h,mu_distance,e_mu_distance,R,e_R,notes,ref
T Ant,DCEP,0.7707,7.914,7.602,7.494,-0.2,-0.23,12.35,0.05,8706,427,b,LIII 
BC Aql,CEP,0.4632,11.634,11.283,11.18,-0.28,-0.31,14.97,0.07,4578,190,c,LIII 
EV Aql,CEP,1.5885,8.99,8.369,8.162,0.06,0.03,15.48,0.07,9249,287,c,LIII 
FF Aql,DCEPS,0.6504,4.03,3.741,3.525,0.04,0.1,8.71,0.37,7592,455,c*,LII 
FM Aql,DCEP,0.7863,5.657,5.21,5.007,0.24,0.21,9.76,0.05,7326,450,a,LIII 
FN Aql,DCEPS,0.9769,5.94,5.485,5.291,-0.06,-0.09,11.47,0.05,6520,445,a,LIII 
KL Aql,DCEP,0.7859,8.488,8.114,7.979,0.33,0.3,12.82,0.07,6573,403,c,LIII 
SZ Aql,DCEP,1.234,5.836,5.337,5.121,0.18,0.24,11.33,0.05,6527,447,a,LII 
TT Aql,DCEP,1.1384,4.634,4.174,3.998,0.22,0.19,9.94,0.05,7176,451,a,LIII 
U Aql,DCEP,0.8466,4.4,4.002,3.844,0.17,0.14,8.86,0.05,7448,451,b,LIII 
V1162 Aql,DCEPS,0.7305,6.133,5.813,5.663,0.01,0.07,11.11,0.05,6609,450,a,LII 
V1344 Aql,DCEP,0.8738,5.177,4.732,4.536,0.15,0.12,9.59,0.05,7317,451,a,LIII 
V1359 Aql,DCEPS:,0.5719,6.505,5.824,5.612,0.28,0.25,10.2,0.07,7148,450,c*,LIII 
V336 Aql,DCEP,0.8635,7.149,6.688,6.484,0.18,0.15,11.48,0.05,6399,446,a,LIII 
V493 Aql,DCEP,0.4753,8.464,8.001,7.817,0.03,0,11.52,0.07,6344,447,c,LIII 
V496 Aql,DCEPS,0.833,5.564,5.136,4.966,0.05,0.11,10.68,0.05,6775,450,b,LII 
V526 Aql,CEP,0.6244,9.609,9.174,8.981,0.5,0.47,13.2,0.07,5481,386,c,LIII 
V600 Aql,DCEP,0.8596,6.96,6.447,6.206,0.03,0.09,11.13,0.05,6827,446,a,LII 
V733 Aql,DCEP,0.7909,8.333,7.936,7.851,0.08,0.14,12.72,0.07,6329,410,c,LII 
V916Aql,DCEP,1.1284,7.367,6.764,6.515,0.39,0.36,12.28,0.05,6311,428,a,LIII 
η Aql,DCEP,0.8559,2.388,2.062,1.945,0.08,0.14,7.07,0.05,7750,452,b,LII 
AN Aur,DCEP,1.0124,7.927,7.446,7.237,-0.1,-0.13,12.72,0.05,11355,458,a,LIII 
CO Aur,CEP(B),0.2514,6.314,6.004,5.873,-0.01,-0.04,8.97,0.13,8557,453,c*,LIII 
CY Aur,DCEP,1.1414,8.586,7.958,7.709,-0.12,-0.15,13.49,0.05,12755,463,a,LIII 
ER Aur,DCEP,1.1958,9.062,8.601,8.41,-0.27,-0.3,14.54,0.05,15884,486,a,LIII 
EW Aur,DCEP,0.4248,11.232,10.755,10.592,-0.54,-0.57,14.13,0.06,14506,490,c,LIII 
FF Aur,DCEP,0.3264,11.661,11.07,10.907,-0.51,-0.54,14.02,0.06,14192,486,c,LIII 
GT Aur,DCEP,0.6439,10.407,10.083,9.978,-0.02,-0.05,14.4,0.07,15355,502,c,LIII 
GV Aur,DCEP,0.721,9.493,9.011,8.811,-0.21,-0.24,13.32,0.07,12513,473,c,LIII 
IN Aur,DCEP,0.6912,10.458,9.904,9.693,-0.28,-0.31,14.04,0.06,14305,488,c,LIII 
RT Aur,DCEP,0.5715,4.222,3.987,3.881,0.13,0.1,8.13,0.05,8356,452,a,LIII 
RX Aur,DCEP,1.0654,5.726,5.357,5.212,0.1,0.07,10.99,0.05,9480,453,a,LIII 
V335 Aur,DCEP,0.5331,9.863,9.398,9.195,-0.3,-0.33,13.08,0.05,12037,461,a,LIII 
V637 Aur,DCEPS,0.8949,8.519,8.142,7.955,-0.15,-0.18,13.91,0.09,13955,510,c*,LIII 
