Name,type,log_P,Jmag,Hmag,Kmag,fe_h_lit,fe_h,e_fe_h,n_s,mu_distance,e_mu_distance,R,e_R,notes,ref
V340 Ara,DCEP,1.3183,7.302,6.754,6.534,0.4,0.33,0.09,6,12.99,0.05,4657,427,b†,PED 
AO Cma,DCEP,0.7646,9.154,8.595,8.366,-0.04,0.01,0.06,1,12.95,0.05,10430,433,b†,LEM 
TW Cma,DCEP,0.8448,7.567,7.178,7.008,-0.51,0.04,0.09,1,12.02,0.05,9788,445,a,LEM 
AD Gem,DCEP,0.5784,8.448,8.151,8.027,-0.19,-0.14,0.06,1,12.24,0.05,10662,455,a,LEM 
BB Gem,DCEP,0.3633,9.696,9.335,9.215,-0.1,-0.09,0.04,1,12.66,0.07,11199,460,c,LIII 
DX Gem,DCEPS,0.4966,8.759,8.336,8.207,-0.04,-0.01,0.09,1,12.78,0.09,11407,473,c*,LIII 
RZ Gem,DCEP’,0.7427,7.6,7.165,6.95,-0.44,-0.16,0.03,1,11.56,0.05,9973,454,a,LEM 
BE Mon,DCEP,0.4322,8.256,7.854,7.676,-0.07,0.05,0.09,1,11.28,0.05,9609,452,a,LEM 
CV Mon,DCEP,0.7307,7.314,6.781,6.529,-0.1,0.09,0.09,1,11,0.05,9362,452,a,LEM 
TW Mon,CEP,0.8511,9.709,9.137,8.904,-0.15,-0.13,0.07,1,13.76,0.05,13059,457,b†,LEM 
TX Mon,DCEP,0.9396,8.569,8.114,7.922,-0.12,-0.03,0.05,1,13.19,0.05,11790,452,a†,LEM 
V465 Mon,DCEP,0.4335,8.751,8.44,8.315,0.02,-0.07,0.07,1,12.75,0.05,11037,450,a,LIII 
V495 Mon,DCEP,0.6124,9.827,9.351,9.185,-0.17,-0.13,0.07,1,13.35,0.05,12098,453,a†,LEM 
V508 Mon,DCEP,0.6163,8.627,8.277,8.136,-0.25,-0.04,0.1,1,12.42,0.05,10714,452,a,LEM 
V510Mon,DCEP,0.8637,9.507,8.898,8.648,-0.12,-0.16,0.06,1,13.51,0.05,12550,456,b†,LEM 
XX Mon,DCEP,0.7369,9.402,8.903,8.699,-0.18,0.01,0.08,1,13.25,0.05,11854,451,b†,LEM 
QZ Nor,DCEPS,0.5782,7.085,6.748,6.614,0.19,0.21,0.06,2,11.53,0.05,6283,447,b,G13
SY Nor,DCEP,1.1019,6.638,6.091,5.864,0.34,0.23,0.07,2,11.59,0.05,6286,446,b†,LIII 
CS Ori,DCEP,0.5899,9.331,8.954,8.79,-0.19,-0.25,0.06,1,12.96,0.05,11701,458,a,LEM 
AQ Pup,DCEP,1.4786,6.033,5.495,5.283,-0.26,0.06,0.05,1,12.29,0.05,9472,436,b,LEM 
BC Pup,DCEP,0.5495,11.015,10.475,10.247,-0.23,-0.31,0.07,1,14.12,0.05,12763,426,b†,LII 
BN Pup,DCEP,1.1359,7.563,7.09,6.91,-0.03,0.03,0.05,1,12.83,0.05,9930,428,b,LEM 
CE Pup,DCEP,1.6949,8.402,7.816,7.581,-0.04,-0.04,0.09,1,15.27,0.07,14958,422,c,LII 
CK Pup,CEP,0.8703,10.273,9.703,9.456,-0.12,-0.13,0.06,2,14.37,0.05,13357,423,b†,G13
HW Pup,DCEP,1.1289,9.468,8.914,8.716,-0.28,-0.22,0.09,1,14.55,0.07,13554,436,c,LEM 
LS Pup,CEP,1.1506,8.03,7.531,7.341,-0.15,-0.12,0.11,1,13.29,0.05,10610,423,b,ROM 
VW Pup,DCEP,0.632,9.008,8.514,8.36,-0.19,-0.14,0.06,1,12.58,0.07,10175,443,c,LII 
VZ Pup,DCEP,1.3649,7.309,6.842,6.657,-0.37,-0.01,0.04,1,13.35,0.05,10867,425,b,LEM 
WW Pup,DCEP,0.7417,8.653,8.274,8.131,-0.18,0.13,0.16,1,12.82,0.05,10382,436,b†,LII 
X Pup,DCEP,1.4143,6.117,5.614,5.418,0.05,0.02,0.08,1,12.24,0.05,9788,441,b,ROM 
KQ Sco,DCEP,1.4577,5.945,5.229,4.924,0.22,0.52,0.08,5,11.67,0.05,5948,451,b,ROM 
RY Sco,DCEP,1.3078,4.93,4.379,4.134,0.09,0.01,0.06,5,10.54,0.05,6663,453,b,LII 
V500 Sco,DCEP,0.9693,6.041,5.532,5.33,0.01,-0.07,0.08,4,10.65,0.05,6590,453,b,LII 
RU Sct,DCEP,1.2945,5.891,5.287,5.034,0.11,0.14,0.04,2,11.35,0.05,6361,449,a,LIII 
UZ Sct,DCEP,1.1686,7.405,6.749,6.461,0.35,0.33,0.08,6,12.29,0.05,5309,448,a†,PED 
V367 Sct,CEP(B),0.7989,7.605,6.955,6.651,-0.01,0.05,0.08,4,11.23,0.05,6332,451,b,LII 
Z Sct,DCEP,1.1106,6.949,6.477,6.263,0.33,0.12,0.09,5,12.08,0.05,5733,445,a,LIII 
AV Sgr,DCEP,1.1879,6.878,6.089,5.73,0.27,0.35,0.17,5,11.49,0.05,5980,454,b †,PED 
VY Sgr,DCEP,1.1322,7.156,6.385,6.042,0.35,0.33,0.12,5,11.63,0.05,5862,453,b†,PED 
WZ Sgr,DCEP,1.3394,5.255,4.752,4.536,0.19,0.28,0.08,5,11.1,0.05,6326,453,a,LII 
XX Sgr,CEP,0.8078,6.436,5.967,5.747,0.1,-0.01,0.06,5,10.55,0.07,6706,453,c,LII 
EZ Vel,DCEP,1.5383,8.884,8.203,7.914,-0.01,-0.17,0.15,1,14.97,0.07,12119,358,c,LEM
